6,3,7,6,53
3,4,7,3,39
9,8,4,8,69
7,9,6,6,70
2,4,6,2,35
3,9,2,10,60
9,6,2,10,67
4,7,4,9,60
2,6,7,5,51
2,8,5,6,51
7,3,2,3,40
3,5,8,7,57
2,3,4,5,32
10,6,4,6,67
3,10,3,5,51
6,5,7,6,63
10,10,2,10,81
6,5,2,8,49
7,3,9,3,55
7,10,6,10,81
7,3,9,4,55
2,2,2,1,20
2,7,3,5,45
6,7,8,5,62
4,9,8,10,79
5,3,2,2,30
10,6,7,10,79
8,3,8,10,72
5,9,10,6,76
3,4,8,2,42
8,9,5,9,75
9,5,8,10,81
2,2,8,4,40
2,8,2,8,48
4,4,6,5,47
4,7,6,3,47
2,6,2,1,28
3,6,4,4,41
6,3,10,3,55
10,4,3,7,59
6,4,6,5,50
8,10,6,10,82
5,7,7,7,65
7,9,9,7,82
3,8,5,4,49
9,4,10,3,68
4,8,3,3,43
9,5,2,10,64
6,5,5,8,63
7,10,5,9,80
10,7,9,8,82
10,3,4,6,55
10,3,8,9,76
3,9,8,8,68
4,10,10,10,85
8,9,3,9,73
7,5,7,5,59
9,4,7,3,54
5,3,2,5,38
9,4,9,9,78
2,5,4,7,47
9,10,10,8,93
3,5,3,4,37
10,6,10,8,86
7,4,2,6,47
4,5,2,7,45
10,8,10,10,94
3,8,2,3,39
5,2,10,7,58
2,4,6,6,46
10,4,6,10,74
6,2,5,8,51
10,4,8,3,61
4,9,4,10,69
10,3,8,10,76
2,4,6,4,41
2,4,7,5,43
3,2,5,1,28
8,2,7,3,47
9,2,6,8,60
8,4,7,4,60
7,5,6,6,57
8,10,10,10,98
2,2,7,2,35
4,7,5,8,59
9,7,2,6,58
3,8,3,3,41
3,4,4,3,33
10,2,9,10,74
3,4,4,2,33
5,2,8,2,41
10,7,9,7,85
8,3,6,7,58
3,8,4,6,50
8,5,6,4,54
3,2,2,5,32
6,2,3,5,40
2,8,4,6,50
9,9,2,10,73
10,2,10,4,68
4,9,6,9,67
10,7,4,8,75
3,6,10,7,67
5,6,10,8,74
9,2,7,10,71
7,6,10,8,78
9,2,5,3,46
8,5,6,8,70
3,6,8,6,55
3,9,7,8,66
2,10,2,5,46
2,8,4,2,38
3,4,8,6,53
4,3,6,2,36
6,10,7,6,72
7,4,4,7,53
3,4,5,2,36
9,5,3,6,58
2,5,2,1,27
5,4,6,5,47
9,6,9,6,76
3,2,8,5,47
10,7,2,9,71
8,7,10,6,76
2,3,7,3,35
5,8,6,9,72
10,5,9,4,71
3,10,8,5,67
9,9,10,8,92
8,4,3,10,65
4,9,6,7,67
4,6,2,5,45
9,7,8,10,88
5,3,2,2,29
2,5,2,2,30
5,6,9,7,69
6,2,10,2,48
5,10,3,10,71
5,8,8,8,74
9,7,10,6,83
3,10,8,2,54
2,7,7,5,53
2,6,8,2,45
7,4,5,6,58
8,5,8,5,66
8,5,7,9,72
3,2,4,5,36
7,6,9,6,71
3,4,4,2,33
5,5,6,5,50
10,8,4,10,77
6,2,5,7,49
5,10,9,7,79
5,8,4,8,62
9,7,8,6,74
5,4,2,7,47
8,5,9,7,72
4,10,2,10,66
7,2,7,9,61
6,6,4,8,57
10,4,8,4,68
4,7,7,5,54
10,9,2,8,74
2,3,4,4,35
4,2,5,1,30
5,5,8,4,53
5,6,2,5,48
4,2,4,5,38
9,6,9,7,76
3,8,5,4,51
10,6,7,5,69
10,10,10,10,103
5,10,2,4,55
6,4,7,8,59
10,7,5,8,78
6,7,8,6,64
6,7,3,8,58
5,9,2,9,64
7,7,9,8,74
2,2,2,2,19
4,6,9,7,68
2,8,8,5,54
10,2,3,4,48
5,5,2,6,46
7,7,10,7,77
8,2,8,7,64
2,8,4,3,41
2,4,4,6,43
10,9,5,10,84
10,4,3,7,63
9,7,2,8,62
6,10,8,10,83
5,7,5,8,62
9,4,3,5,51
4,6,5,7,54
5,2,5,3,40
5,8,2,10,61
7,10,2,10,69
3,8,2,5,47
2,4,10,5,51
2,8,2,3,34
4,10,6,9,71
6,2,6,1,39
5,8,2,7,52
5,8,9,10,83
9,5,9,9,81
9,8,10,7,87
5,10,3,5,56
10,3,5,10,68
4,10,9,7,74
6,2,7,8,54
5,2,5,6,48
2,6,2,6,39
3,3,5,3,33
4,9,2,4,44
10,6,4,5,64
5,8,6,9,68
4,9,9,10,79
5,6,9,4,62
10,4,2,9,63
4,2,4,5,39
9,7,10,6,81
8,3,5,4,50
4,9,8,6,70
9,8,10,7,83
8,6,2,10,66
4,10,9,7,72
4,9,6,4,54
2,5,9,1,45
10,10,7,10,90
4,2,10,6,56
6,4,8,8,63
8,5,6,8,67
7,2,3,5,45
2,6,5,7,47
3,4,4,6,44
4,10,5,6,64
8,3,4,8,54
10,9,9,10,96
8,6,10,7,79
8,8,5,7,69
6,3,4,4,45
4,3,7,4,48
7,3,4,6,49
7,9,4,9,74
3,10,3,8,57
4,6,9,5,60
4,2,7,2,37
4,9,8,7,70
7,2,9,4,52
6,5,6,7,62
6,6,4,5,49
8,5,9,4,67
4,4,3,4,37
9,6,10,5,72
5,9,9,9,82
6,9,5,9,72
10,10,8,9,91
5,3,8,6,55
9,2,8,9,70
9,2,6,8,65
5,5,5,6,50
10,2,4,10,68
4,3,9,3,46
2,5,8,6,54
8,10,6,10,87
3,4,6,5,42
8,4,4,7,57
3,4,8,3,48
2,6,8,5,50
4,6,3,3,43
7,5,9,5,62
8,4,9,9,78
8,9,6,8,78
9,3,8,6,67
8,6,5,6,59
4,6,5,3,45
3,6,7,3,49
5,10,10,6,78
4,7,7,6,58
6,6,7,8,66
8,4,2,8,58
4,10,2,7,60
6,2,10,8,66
2,9,5,10,62
9,7,3,10,71
5,4,5,3,39
8,3,8,8,70
3,10,10,3,62
7,8,2,7,57
2,10,10,10,81
3,6,5,2,43
4,5,8,7,57
2,5,7,7,54
8,4,8,9,74
6,6,10,7,72
7,9,5,8,70
4,7,2,8,55
10,9,5,10,85
8,7,4,7,65
8,2,7,1,47
10,10,6,9,88
9,4,5,9,66
6,8,7,10,74
2,6,2,2,33
7,3,6,4,48
9,10,8,10,90
10,2,10,7,70
8,8,5,7,68
9,5,10,9,82
10,2,9,10,75
8,4,9,10,77
3,3,2,4,32
5,10,8,5,70
6,7,8,8,73
2,2,5,4,30
3,4,7,2,37
7,2,2,9,48
9,3,10,7,72
10,4,5,9,72
2,3,5,3,32
2,3,8,3,40
10,6,10,5,77
10,4,3,5,54
4,5,10,5,58
8,5,9,8,78
3,4,5,3,35
4,2,7,6,48
5,4,6,6,54
6,10,6,8,77
3,6,10,7,63
7,7,6,6,66
6,7,2,8,57
5,10,6,6,68
9,8,9,7,82
5,5,3,6,48
3,10,7,2,58
6,10,2,10,71
9,2,8,1,50
3,8,4,7,53
9,3,4,4,52
4,2,4,4,34
6,8,5,10,74
8,5,7,8,72
9,2,5,3,48
6,4,8,5,56
6,7,9,8,72
8,9,9,8,83
7,6,7,6,65
10,8,10,8,87
3,5,2,3,31
2,6,4,1,33
2,10,9,4,64
3,5,4,3,35
5,9,9,8,75
3,3,9,4,44
5,7,10,9,80
10,10,6,10,90
9,7,6,10,80
5,2,6,2,36
5,8,10,8,80
9,3,7,8,68
3,8,6,9,66
4,7,8,4,56
10,9,4,9,78
5,9,2,5,50
7,10,4,10,79
5,3,4,5,40
5,9,10,4,69
4,10,10,4,71
9,10,10,10,97
8,8,7,9,81
6,8,9,5,72
8,4,6,6,58
5,5,5,4,48
10,5,7,10,83
4,10,3,8,59
9,6,9,7,80
4,7,3,3,43
