2,7,6,4,9,57
9,7,10,10,1,84
8,6,7,8,1,62
9,9,9,7,7,80
9,4,10,10,1,69
8,4,10,10,4,72
1,3,1,0,1,8
7,6,7,8,7,69
7,7,10,9,7,86
5,4,4,5,7,47
1,10,4,2,4,45
4,8,4,2,10,53
1,6,0,0,9,26
7,9,7,7,6,73
5,6,5,5,10,62
10,7,10,10,9,93
5,7,8,5,8,69
6,8,9,6,8,72
10,0,9,8,3,63
1,5,2,1,3,26
2,10,3,4,1,44
4,8,6,4,0,40
7,8,9,9,4,74
5,7,8,7,6,64
4,5,6,5,7,51
3,10,7,4,6,57
9,4,9,10,2,64
1,4,1,2,8,27
6,3,6,4,10,55
3,4,5,4,9,52
7,8,7,5,8,71
3,1,4,2,3,28
6,9,10,8,4,77
2,6,6,4,3,37
5,5,5,5,1,40
2,2,7,4,5,44
6,7,7,8,4,67
3,8,3,1,3,32
9,4,10,9,2,67
9,3,9,9,0,61
8,4,10,10,2,64
10,2,7,8,8,69
8,0,10,10,9,77
2,8,3,0,9,40
8,7,6,7,1,59
5,6,8,7,1,51
9,8,10,10,10,96
2,0,1,2,7,19
9,9,10,8,3,80
1,2,1,0,7,21
7,0,10,9,1,53
8,5,10,10,5,84
9,5,10,8,1,70
6,4,9,8,0,52
7,4,8,7,10,69
1,10,0,0,4,29
7,7,6,7,6,67
9,5,9,9,8,81
9,0,10,10,1,56
7,3,8,5,7,65
7,3,6,5,1,44
8,1,8,7,4,61
2,7,2,1,3,30
9,10,8,7,7,79
8,9,9,8,0,69
3,9,4,1,8,53
8,0,8,6,9,61
2,6,0,0,7,30
2,2,0,0,7,23
7,9,7,7,7,79
10,0,10,10,4,76
4,0,1,2,4,20
3,10,2,1,5,48
10,3,9,10,5,79
4,9,6,4,9,70
4,9,5,6,9,72
2,1,6,4,8,47
1,10,2,2,5,46
3,1,3,2,2,19
2,1,1,0,4,19
10,9,10,9,10,98
10,7,10,10,1,82
5,2,6,3,7,44
5,0,6,4,4,40
2,3,0,0,4,15
5,2,7,7,0,41
5,8,5,6,10,67
6,4,8,8,2,60
6,9,4,4,6,60
7,10,9,9,1,76
6,2,8,7,3,48
2,9,5,3,7,51
2,9,2,2,6,42
7,1,10,9,2,67
9,7,7,7,8,73
3,5,5,2,1,29
1,7,4,2,4,35
3,6,4,1,2,28
10,5,9,8,5,77
1,10,0,0,9,38
7,8,5,6,6,60
7,1,7,7,3,48
5,6,2,3,2,41
5,10,8,6,6,68
2,8,1,0,6,33
8,9,10,9,8,87
4,7,2,2,6,38
5,7,7,4,7,55
7,1,7,6,0,39
4,8,6,5,9,63
1,3,3,1,8,29
5,3,8,6,8,59
7,9,8,6,8,82
7,8,10,9,2,73
3,8,3,2,1,35
7,9,10,9,0,68
4,2,5,6,0,34
6,3,7,7,1,47
10,2,10,10,8,85
3,2,1,2,3,18
2,7,3,3,8,45
7,9,7,8,5,77
1,0,0,0,3,-3
8,3,8,9,1,60
6,3,6,7,8,57
1,9,2,3,5,46
2,4,7,4,0,36
3,9,3,3,7,55
5,1,7,6,2,39
7,1,9,7,3,57
7,4,9,7,8,74
9,8,10,9,6,87
6,4,6,5,1,42
7,6,9,6,2,62
9,7,6,7,8,77
8,3,7,7,6,58
2,3,1,0,10,28
1,4,5,3,7,36
8,2,7,6,8,60
6,10,8,5,0,57
8,6,7,7,9,79
10,1,7,8,3,60
1,2,2,0,8,31
5,0,6,3,5,36
7,4,10,8,4,64
8,0,10,7,1,54
2,5,2,2,4,34
5,2,7,6,0,42
2,2,2,0,5,17
5,0,5,6,10,55
4,4,2,2,7,41
3,2,5,2,10,48
2,9,4,3,9,61
6,8,7,6,2,63
4,5,5,4,0,41
8,9,10,10,2,82
4,4,7,5,0,35
6,10,6,7,6,73
2,0,3,0,0,5
6,10,7,6,6,72
7,10,8,8,7,84
3,1,5,2,9,41
8,0,7,6,6,53
6,0,8,7,3,51
2,10,3,4,4,48
10,7,10,10,3,82
7,7,9,9,6,75
4,6,8,6,10,64
4,0,1,2,8,30
4,0,7,4,4,37
7,1,8,5,8,59
3,6,4,4,9,58
4,10,8,6,0,53
8,3,7,7,1,49
5,3,6,7,10,58
10,7,10,9,6,82
9,9,8,9,5,79
4,4,6,6,10,63
5,7,6,7,1,51
3,10,5,5,0,45
2,4,3,2,7,36
8,8,6,6,6,67
5,6,9,7,7,69
1,8,0,1,5,30
5,6,5,6,6,58
4,9,6,4,0,47
9,9,10,9,0,72
1,0,0,0,4,2
7,8,6,5,1,51
10,3,10,10,8,83
4,6,1,2,0,21
6,1,7,6,10,64
8,10,10,8,3,77
6,4,9,8,7,73
7,7,6,6,4,56
10,10,10,10,2,95
1,6,3,1,7,33
7,3,5,6,9,56
2,2,4,1,10,34
6,4,7,8,5,57
1,10,1,0,4,32
1,7,1,0,9,34
9,7,9,8,6,77
4,0,4,2,1,20
8,3,9,8,0,52
10,10,10,10,7,97
4,5,8,5,8,62
5,10,6,4,0,55
7,9,9,7,4,70
7,10,8,9,7,85
2,5,7,4,7,55
4,10,7,5,9,70
10,8,10,10,6,104
4,5,6,5,3,44
8,0,10,8,3,56
3,6,4,5,9,50
9,9,9,10,4,84
4,3,6,4,3,39
3,8,3,2,2,41
5,3,5,5,6,50
4,3,5,2,2,35
3,5,1,1,7,31
5,0,3,3,7,41
4,8,9,6,5,67
9,3,10,10,4,73
9,8,10,10,0,84
2,9,4,3,10,61
5,4,2,3,9,42
10,10,10,10,3,92
3,9,6,5,9,67
3,1,6,4,2,35
6,8,5,4,0,50
10,9,10,10,3,91
10,7,10,10,2,86
2,4,2,1,4,28
6,2,8,5,0,39
9,10,10,10,5,94
10,2,10,10,2,78
9,10,8,8,0,76
3,7,0,1,7,34
3,4,2,3,4,31
10,10,9,9,6,86
1,9,4,3,3,44
2,5,1,2,2,27
10,1,10,9,6,77
9,8,7,8,9,86
7,9,10,9,1,78
3,8,4,2,5,48
8,1,7,6,7,57
6,3,5,4,0,37
10,2,10,9,0,63
10,1,10,10,3,63
8,0,10,10,2,69
8,10,9,8,2,73
4,5,5,2,8,48
2,7,2,0,0,21
4,2,4,4,8,41
7,10,10,9,9,99
6,7,4,5,3,45
3,9,4,3,4,51
7,5,10,8,7,72
3,0,3,1,0,14
1,7,2,0,9,42
7,1,8,8,8,67
7,3,5,5,9,58
4,0,3,3,10,42
1,6,1,1,1,21
2,3,1,2,9,35
5,3,8,5,2,45
4,2,6,3,4,39
6,7,8,6,8,68
4,0,5,2,1,28
9,10,10,9,0,76
8,0,6,7,3,51
5,2,8,5,6,47
3,1,3,1,6,27
2,0,4,2,6,28
1,1,3,3,4,19
9,9,10,8,7,89
2,8,0,0,4,22
3,8,5,2,3,45
5,6,6,7,2,53
6,7,7,8,6,69
7,2,5,5,6,53
9,7,8,7,4,69
1,7,1,1,0,23
10,8,10,9,1,78
1,6,4,3,6,37
6,4,6,5,1,44
4,4,1,2,6,30
5,1,9,6,2,51
6,4,10,8,9,73
