7,0,5,42
7,8,7,72
6,2,4,38
1,1,2,14
9,10,7,88
9,1,9,61
5,8,5,59
3,7,4,45
3,3,4,35
0,1,0,1
0,2,0,6
0,9,0,32
7,0,6,42
9,6,9,80
2,9,0,36
5,0,5,31
2,3,2,25
10,7,10,89
9,0,9,59
9,3,10,72
2,8,1,36
9,1,8,59
2,1,1,13
6,3,7,54
4,7,4,48
8,1,7,53
6,0,4,33
10,7,9,86
9,7,10,87
3,8,3,44
10,1,10,69
9,4,7,67
6,6,5,54
4,2,4,32
1,5,0,22
0,0,0,0
2,1,0,9
6,4,5,52
6,4,4,45
9,9,10,91
6,7,8,70
6,7,5,61
4,8,3,49
1,8,2,38
8,5,10,76
2,2,4,26
4,5,4,44
5,3,5,41
8,2,6,55
0,8,1,29
3,4,3,35
4,1,3,27
6,9,8,76
3,5,2,33
8,5,7,67
10,2,8,68
5,7,3,50
1,3,0,13
1,7,3,36
0,5,0,15
2,5,0,25
6,2,6,48
10,6,10,85
6,0,5,34
6,2,8,55
1,3,0,15
6,0,8,47
3,1,1,17
3,0,3,19
9,10,8,89
5,5,5,48
3,0,1,12
5,3,7,52
5,7,5,55
2,10,0,41
8,1,6,51
1,7,3,34
6,8,8,73
5,2,5,41
3,10,1,46
2,10,1,42
9,4,8,71
9,9,8,88
1,7,0,24
10,2,8,67
4,9,5,60
10,2,10,72
2,2,1,14
0,3,0,10
6,1,8,51
5,8,7,66
9,3,9,70
5,3,7,51
5,10,7,72
6,6,4,52
9,7,9,84
6,10,5,68
0,1,0,2
10,3,8,69
8,7,8,74
4,8,2,48
1,2,0,9
8,10,6,81
2,4,3,32
2,3,0,18
1,9,1,38
6,10,5,69
3,9,2,44
8,3,8,64
3,0,1,12
9,10,8,89
0,6,0,19
3,9,3,48
3,0,3,20
9,8,10,89
4,9,4,54
6,7,8,68
1,0,0,4
0,6,0,20
8,2,9,62
0,4,0,11
9,6,8,76
4,3,2,32
7,9,9,81
8,1,10,61
8,2,7,58
6,9,7,74
10,2,10,75
7,7,8,75
2,6,0,27
5,0,5,31
0,7,0,21
8,10,6,81
10,6,10,84
0,10,0,32
7,9,9,82
1,10,3,45
7,2,8,56
0,4,0,15
8,6,8,73
8,1,6,49
7,5,6,58
3,9,4,52
3,2,5,32
6,4,5,48
3,0,5,28
1,5,1,24
4,7,4,49
6,9,6,72
2,6,1,31
1,3,3,22
5,3,3,38
10,0,10,68
3,5,1,28
10,7,10,91
10,0,10,65
9,7,8,80
8,8,7,75
3,6,1,33
1,7,3,34
9,7,10,87
8,5,7,66
5,6,5,53
9,6,8,78
1,1,0,6
0,9,2,36
10,5,10,83
2,2,0,15
5,1,7,41
3,9,1,43
6,3,4,42
0,4,1,16
5,4,3,41
2,5,3,32
10,1,10,70
2,8,4,48
10,5,10,81
6,2,7,52
4,9,4,55
5,4,6,49
0,8,0,25
2,6,4,39
7,0,8,50
2,4,2,28
7,2,6,52
7,5,7,63
4,4,5,45
4,3,3,33
9,0,8,55
0,6,1,23
7,7,9,74
2,4,3,32
5,2,5,41
7,10,6,77
8,1,7,53
5,7,7,64
10,7,10,90
9,10,7,85
8,6,8,73
7,6,6,65
1,8,0,31
7,3,7,55
1,9,0,31
5,3,7,50
3,10,3,51
5,0,3,25
9,5,10,79
1,4,0,18
7,9,7,75
8,8,7,76
10,6,10,84
1,2,0,10
0,7,1,24
10,4,9,74
4,6,2,40
4,9,4,54
2,3,0,16
0,8,2,33
7,8,7,74
5,2,7,47
2,7,2,38
9,7,10,84
0,4,0,13
10,10,10,100
5,3,5,41
6,3,7,51
7,7,8,74
2,3,1,21
9,9,10,95
5,6,6,58
5,4,4,42
5,6,6,56
1,7,0,25
5,5,4,47
8,2,6,54
2,1,0,11
2,3,2,24
2,7,1,32
5,3,3,35
7,9,8,80
4,8,6,59
7,10,8,85
6,8,4,62
3,6,5,48
0,4,1,16
6,7,7,65
1,4,2,21
2,7,2,36
5,9,7,71
7,10,9,88
6,2,5,44
8,1,6,51
7,4,8,65
10,1,10,70
4,4,3,37
10,6,9,82
6,2,7,49
9,0,10,61
8,5,7,65
0,8,1,30
10,2,10,74
10,2,8,64
10,0,9,61
5,8,5,60
1,6,0,25
4,7,5,55
0,10,0,34
1,4,3,27
6,9,5,68
3,1,3,21
10,1,8,61
2,4,2,25
6,9,5,64
4,7,3,48
8,5,10,76
1,8,2,37
9,7,9,81
6,6,5,55
1,6,3,31
7,0,6,42
1,3,0,14
7,8,8,74
1,5,1,24
5,7,3,48
3,0,3,19
9,7,10,86
2,7,3,42
8,7,8,77
2,0,0,5
7,2,8,55
3,8,2,43
1,6,0,22
1,8,0,29
0,8,0,27
0,0,1,3
5,3,6,46
0,6,2,27
7,5,8,65
6,6,6,58
10,10,8,95
6,3,6,52
5,4,7,52
2,3,4,29
6,5,8,65
5,2,7,48
1,10,3,46
10,6,10,85
7,8,7,74
7,6,5,60
9,2,8,63
4,10,2,55
9,6,8,76
10,4,8,72
10,6,10,87
4,1,3,24
6,5,6,54
7,7,8,72
6,4,6,51
8,4,7,63
8,3,6,54
5,3,4,40
10,5,10,83
6,3,6,51
0,3,0,11
5,10,6,69
0,0,0,-2
2,2,2,18
2,4,2,26
7,9,8,80
0,8,1,29
1,7,2,31
5,5,5,48
8,10,10,91
7,1,7,48
4,5,5,45
2,8,1,37
8,10,7,81
4,7,6,56
4,6,6,51
2,7,2,38
